YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,DEFRTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPPPTSOFFTOV,OPPPTS2NDCHANCE,OPPPTSFB,OPPPTSPAINT,DEFWS,,,,,,,,,,,,,
2024,AJ Green,MIL,25,6,1,5,11.6,100.7,1.3,10.8,13.3,0.2,11.1,0,0,6.2,1,2.2,10,0.072,,,,,,,,,,,,,
2024,AJ Johnson,MIL,19,3,1,2,2.1,76.5,0.3,20,33.3,0,0,0,0,2,0,0.3,1.3,0.035,,,,,,,,,,,,,
2024,Aaron Gordon,DEN,29,7,4,3,30.3,114,4,13.2,19.4,0.7,14.7,0.3,10,10.7,7,7.7,34.9,0.063,,,,,,,,,,,,,
2024,Aaron Holiday,HOU,28,2,1,1,9.3,72.1,0,0,0,0.5,11.1,0,0,1.5,1.5,0,4,0.152,,,,,,,,,,,,,
2024,Aaron Nesmith,IND,25,6,2,4,22.7,117.1,3.3,14,22.7,0.7,15.4,0.3,18.2,8.8,6.7,6,21.7,0.028,,,,,,,,,,,,,
2024,Aaron Wiggins,OKC,25,7,7,0,20.3,94.6,3.3,13.9,22.5,1.3,26.5,0.3,9.1,5.3,7.4,5,20.3,0.154,,,,,,,,,,,,,
2024,Adam Flagler,OKC,24,4,4,0,1.8,93.3,0.3,12.5,20,0.3,50,0,0,0.5,0.5,0.5,1.5,0.014,,,,,,,,,,,,,
2024,Adama Sanogo,CHI,22,2,1,1,4.6,138.1,0,0,0,0,0,0,0,1,1,3,4,-0.023,,,,,,,,,,,,,
2024,Adem Bona,PHI,21,4,0,4,2.1,100,0,0,0,0,0,0.3,100,1,1.3,0.5,1,0.013,,,,,,,,,,,,,
2024,Ajay Mitchell,OKC,22,7,7,0,13.7,89.8,1.4,8.6,12.2,0.6,14.8,0.1,9.1,3.7,2.7,2.6,10.9,0.126,,,,,,,,,,,,,
2024,Al Horford,BOS,38,7,6,1,24.8,107.4,3.7,15.2,21,1.1,30.8,0.7,33.3,5.9,5,8,28.9,0.101,,,,,,,,,,,,,
2024,Alec Burks,MIA,33,4,3,1,18.8,106.6,1,4.9,8.3,0.5,14.3,0.3,25,5.3,5.5,8,19,0.079,,,,,,,,,,,,,
2024,Alex Caruso,OKC,30,7,7,0,19.7,88.3,1.9,8,12.5,1.7,30,0.6,17.4,5.1,6.4,4.3,14.3,0.192,,,,,,,,,,,,,
2024,Alex Ducas,OKC,23,4,4,0,1.8,93.3,0,0,0,0,0,0,0,0.5,0.5,0.5,1.5,0.014,,,,,,,,,,,,,
2024,Alex Len,SAC,31,5,3,2,7.5,122.1,2,22.2,35.7,0.4,66.7,0.6,37.5,2.6,1.2,2,8,-0.002,,,,,,,,,,,,,
2024,Alex Reese,OKC,25,1,1,0,1.9,66.7,0,0,0,0,0,0,0,0,0,0,0,0.022,,,,,,,,,,,,,
2024,Alexandre Sarr,WAS,19,6,2,4,25.1,116.8,5.2,19,29.8,0.5,9.7,2.8,63,9.8,9.7,9.7,25,0.033,,,,,,,,,,,,,
2024,Alperen Sengun,HOU,22,7,4,3,28.9,106.5,8.3,26.4,38.7,1.1,32,1.1,44.4,7.3,8.9,4.4,26.9,0.122,,,,,,,,,,,,,
2024,Amen Thompson,HOU,21,7,4,3,24.2,108.2,4.1,16.6,27.4,0.6,11.8,0.3,14.3,6.4,8.1,4.1,24.3,0.095,,,,,,,,,,,,,
2024,Amir Coffey,LAC,27,7,3,4,21.8,100.3,1.9,7.7,12.3,0.7,20,0,0,9.4,5.3,6.9,16.9,0.135,,,,,,,,,,,,,
2024,Andre Drummond,PHI,31,6,1,5,26.1,116.3,7,29.6,42.9,1.8,39.3,0.5,25,10,6,11.5,27.3,0.038,,,,,,,,,,,,,
2024,Andre Jackson Jr.,MIL,22,6,1,5,12,96.8,2.2,17.6,21.7,0.7,28.6,0.3,28.6,5.3,1.7,1.7,11,0.088,,,,,,,,,,,,,
2024,Andrew Nembhard,IND,24,6,3,3,25.9,110.4,1.8,7,11,0.8,18.5,0,0,8,5.8,7,24.7,0.082,,,,,,,,,,,,,
2024,Andrew Wiggins,GSW,29,5,4,1,25,100,3.6,11.1,16.7,0.4,9.5,1,33.3,8.8,8.4,4.6,21.2,0.16,,,,,,,,,,,,,
2024,Anfernee Simons,POR,25,8,3,5,34.1,105.9,2.4,6.6,9.7,0.9,13.7,0.1,3.7,11,11.1,10.1,26.8,0.152,,,,,,,,,,,,,
2024,Anthony Black,ORL,20,8,3,5,24.6,105,2.1,8.1,12.4,0.6,13.5,0.9,25,10.6,5.8,6.6,20.8,0.118,,,,,,,,,,,,,
2024,Anthony Davis,LAL,31,7,4,3,36.3,117.4,9.4,25.2,37.9,1.6,27.5,1.7,46.2,13.1,13.1,15.3,40.6,0.041,,,,,,,,,,,,,
2024,Anthony Edwards,MIN,23,7,4,3,37.1,111.5,5.4,13.9,21.6,0.9,18.2,0.4,12.5,15.6,10.4,14.3,40,0.106,,,,,,,,,,,,,
2024,Anthony Gill,WAS,32,4,1,3,2.3,116.7,0,0,0,0.3,33.3,0,0,1.5,1.5,1,4,0.004,,,,,,,,,,,,,
