Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
,,,,,,,,,,,,,,,,,,,
Rudy Gobert,MIN,32,76,53,23,34.1,106.6,9.2,25.6,36.8,0.7,13.2,2.1,50,12.1,8.7,9.3,30.9,0.164
OG Anunoby,NYK,26,50,31,19,34,107.2,3.2,9.1,13.1,1.4,24.5,0.7,20.6,10.6,9.3,9.6,35.3,0.164
Donovan Mitchell,CLE,27,55,36,19,35.3,108.6,4.3,11.6,17,1.8,30.4,0.5,14.7,11.8,9.7,10.2,34.2,0.154
Anthony Edwards,MIN,22,79,54,25,35.1,108.5,4.8,13.1,19.1,1.3,22.4,0.5,11.5,12,9.1,9.7,33.7,0.152
Franz Wagner,ORL,22,72,44,28,32.5,108.2,4.3,13.7,19.6,1.1,19,0.4,11.3,10.1,7.5,9.8,31.1,0.144
Joel Embiid,PHI,30,39,31,8,33.6,109.5,8.6,23.9,35.5,1.2,20.3,1.7,43.7,10.4,9.1,11,34.7,0.14
Bam Adebayo,MIA,26,71,40,31,34,109.3,8.1,24.2,34.9,1.1,20,0.9,37.3,10.5,9.5,9.4,31.9,0.14
Shai Gilgeous-Alexander,OKC,25,75,55,20,34,109.7,4.7,12.8,19.7,2,32.8,0.9,19,9.6,10.7,8.4,32.5,0.138
Maozinha Pereira,MEM,23,7,2,5,17.4,96.5,3.7,20.6,27.4,0.9,19.4,0.6,33.3,7.6,2.1,6.3,13.1,0.137
Karl-Anthony Towns,MIN,28,62,42,20,32.7,109.1,6.8,20.4,29.4,0.7,14.7,0.7,18.2,11.1,8.5,8.8,32.1,0.136
Jayson Tatum,BOS,26,74,57,17,35.7,110.5,7.2,18.7,27.5,1,20.1,0.6,12.3,9.6,10.4,9.4,35.6,0.135
Jalen Williams,OKC,23,71,51,20,31.3,108.9,3.5,10.2,15.8,1.1,20.5,0.6,13.8,8.9,10.1,8,30.8,0.135
Trey Murphy III,NOP,24,57,35,22,29.7,108.2,4.2,13.9,19.8,0.9,16.3,0.5,17.2,8.9,7.2,7.9,28.8,0.132
Tari Eason,HOU,23,22,12,10,21.8,103.1,4.9,20.3,29.8,1.4,36.9,0.9,33.3,6.4,6.5,3.9,20.4,0.13
Derrick White,BOS,29,73,58,15,32.6,109.9,3.5,10,14.6,1,22.4,1.2,25.5,8.5,9.4,8.6,32.5,0.13
Max Strus,CLE,28,70,43,27,32,109.7,3.9,11.7,17.3,0.9,16.8,0.4,13.4,11.5,8.8,9.5,30.7,0.13
Nikola Joki?,DEN,29,79,55,24,34.6,110.6,9.5,27,38.5,1.4,26,0.9,25.3,10.6,8.4,10.2,36.5,0.13
Marcus Smart,MEM,30,20,7,13,30.2,109.2,2.4,7.3,10.5,2.1,37.6,0.3,6.5,10.9,8.6,9.8,27.5,0.13
Jimmy Butler,MIA,34,60,33,27,34,110.5,3.6,10.6,15.3,1.3,23.7,0.3,11.3,11.1,9.5,9.5,32.8,0.129
Ja Morant,MEM,24,9,6,3,35.3,111.1,4.9,13.4,20.3,0.8,15.2,0.6,11.1,13,10.3,11.7,38,0.128
Naz Reid,MIN,24,81,56,25,24.2,105.5,4.3,17,25.2,0.8,18.2,0.9,26.4,8.1,6.5,6.8,23.1,0.128
Mike Conley,MIN,36,76,53,23,28.9,108,2.4,8.1,11.8,1.2,26.2,0.2,6.3,10.3,7.9,7.9,27.8,0.128
Wenyen Gabriel,MEM,27,5,1,4,16.2,96.4,3.6,22,30,0.4,12.5,0.4,28.6,7.6,3.2,4.6,12.8,0.127
Fred VanVleet,HOU,30,73,38,35,36.8,111.6,3.4,8.9,13.2,1.4,23.9,0.8,23.7,11,10,7.8,36.4,0.126
Josh Hart,NYK,29,81,49,32,33.4,110.6,6.8,20.5,30,0.9,17.9,0.3,9.7,9.6,8.4,8.9,31.9,0.124
Chet Holmgren,OKC,22,82,57,25,29.4,109.2,6.3,19.8,30.7,0.6,13.3,2.3,50.9,8.2,10,7.4,28.3,0.124
Brandon Clarke,MEM,27,6,2,4,22.4,104.6,3.2,14.5,21.6,0.8,16.1,1,33.3,8.3,5.7,7.5,18.3,0.124
Nickeil Alexander-Walker,MIN,25,82,56,26,23.4,105.5,1.6,6.6,9.7,0.8,19.9,0.5,16.7,7.4,6,6.1,21.7,0.124
Kyle Anderson,MIN,30,79,55,24,22.6,105.1,2.7,11.6,17.1,0.9,22.8,0.6,19.6,7.6,6.1,5.9,21,0.122
Kawhi Leonard,LAC,33,68,44,24,34.3,111.1,4.9,13.8,20.5,1.6,27,0.9,24.3,10,9.5,9.3,33.4,0.122
Evan Mobley,CLE,23,50,29,21,30.6,110.1,7.1,22,32.7,0.9,18.6,1.4,45,11,8.8,9.2,29.2,0.122
Kristaps Porzi??is,BOS,28,57,43,14,29.6,109.6,5.5,16.3,23.8,0.7,19.3,1.9,42.2,8.2,8.8,9,28.5,0.122
Tyler Herro,MIA,24,42,23,19,33.5,111.1,4.8,14,20.7,0.7,14.1,0.1,3,11.2,10.1,10,35.3,0.122
Dean Wade,CLE,27,54,36,18,20.5,103.5,3.4,15.4,22.3,0.7,21.5,0.5,21,7.1,4.6,5.8,20.1,0.121
Jrue Holiday,BOS,34,69,53,16,32.8,110.9,4.2,11.7,17.2,0.9,19.7,0.8,17.6,9.1,9.6,8.8,31.9,0.121
Gabe Vincent,LAL,28,11,7,4,19.8,103,0.5,2.2,3.1,0.8,20,0,0,7.3,5.9,5.6,15.6,0.119
Jarrett Allen,CLE,26,77,46,31,31.7,110.7,7.4,23.1,33.6,0.7,13.5,1.1,36.3,11.5,8.3,9.4,31,0.119
De'Aaron Fox,SAC,26,74,42,32,35.9,112.3,3.7,10.4,14.8,2,35,0.4,13.2,11.6,7.8,9,36.2,0.119
Paolo Banchero,ORL,21,80,46,34,35,111.9,5.9,17.8,25.7,0.9,14.8,0.6,15.8,11.7,9.1,10.7,35,0.118
Jaylen Brown,BOS,27,70,52,18,33.5,111.6,4.3,11.9,17.5,1.2,25.5,0.5,11,9.5,9.9,9.6,33.3,0.118
Darius Garland,CLE,24,57,31,26,33.3,111.4,2.1,6.4,9.6,1.3,24.3,0.1,4,12.1,9.4,9.5,31.6,0.117
Damian Lillard,MIL,33,73,48,25,35.3,112.4,3.9,10.2,14.7,1,20.7,0.2,6.4,11.1,9.8,10.8,38.2,0.115
